match_id,inning,batting_team,total_runs
829819,1,Royal Challengers Bangalore,180
829821,1,Royal Challengers Bangalore,139
829823,1,Mumbai Indians,202
980901,1,Mumbai Indians,121
980903,1,Delhi Daredevils,98
980905,1,Kings XI Punjab,161
980907,1,Royal Challengers Bangalore,227
980909,1,Kolkata Knight Riders,187
980911,1,Rising Pune Supergiants,163
980913,1,Kings XI Punjab,111
980915,1,Sunrisers Hyderabad,142
980917,1,Mumbai Indians,143
980919,1,Rising Pune Supergiants,152
980921,1,Royal Challengers Bangalore,191
980923,1,Mumbai Indians,142
980925,1,Kings XI Punjab,138
980927,1,Royal Challengers Bangalore,170
980929,1,Gujarat Lions,135
980931,1,Royal Challengers Bangalore,185
980933,1,Delhi Daredevils,164
980935,1,Kings XI Punjab,143
980937,1,Royal Challengers Bangalore,180
980939,1,Rising Pune Supergiants,160
980941,1,Mumbai Indians,189
980943,1,Sunrisers Hyderabad,118
980945,1,Gujarat Lions,172
980947,1,Kolkata Knight Riders,174
980949,1,Rising Pune Supergiants,195
980951,1,Delhi Daredevils,186
980953,1,Sunrisers Hyderabad,194
980955,1,Kings XI Punjab,154
980957,1,Rising Pune Supergiants,159
980959,1,Royal Challengers Bangalore,185
980961,1,Gujarat Lions,149
980963,1,Kolkata Knight Riders,164
980965,1,Delhi Daredevils,162
980967,1,Gujarat Lions,126
980969,1,Rising Pune Supergiants,191
980971,1,Kings XI Punjab,181
980973,1,Sunrisers Hyderabad,177
980975,1,Kolkata Knight Riders,158
980977,1,Royal Challengers Bangalore,175
980979,1,Sunrisers Hyderabad,137
980981,1,Royal Challengers Bangalore,151
980983,1,Sunrisers Hyderabad,146
980985,1,Mumbai Indians,124
980987,1,Royal Challengers Bangalore,248
980989,1,Rising Pune Supergiants,103
980991,1,Kings XI Punjab,179
980993,1,Mumbai Indians,206
980995,1,Kolkata Knight Riders,183
980997,1,Delhi Daredevils,121
980999,1,Royal Challengers Bangalore,211
981001,1,Kolkata Knight Riders,124
981003,1,Sunrisers Hyderabad,158
981005,1,Kings XI Punjab,172
981007,1,Mumbai Indians,172
981009,1,Kolkata Knight Riders,171
981011,1,Delhi Daredevils,138
981013,1,Gujarat Lions,158
981015,1,Sunrisers Hyderabad,162
981017,1,Gujarat Lions,162
981019,1,Sunrisers Hyderabad,208
1082591,1,Sunrisers Hyderabad,207
1082592,1,Mumbai Indians,184
1082593,1,Gujarat Lions,183
1082594,1,Rising Pune Supergiant,163
1082595,1,Royal Challengers Bangalore,157
1082596,1,Gujarat Lions,135
1082597,1,Kolkata Knight Riders,178
1082598,1,Royal Challengers Bangalore,148
1082599,1,Delhi Daredevils,205
1082600,1,Sunrisers Hyderabad,158
1082601,1,Kings XI Punjab,170
1082602,1,Royal Challengers Bangalore,142
1082603,1,Rising Pune Supergiant,171
1082604,1,Kolkata Knight Riders,172
1082605,1,Delhi Daredevils,188
1082606,1,Gujarat Lions,176
1082607,1,Rising Pune Supergiant,161
1082608,1,Delhi Daredevils,168
1082609,1,Sunrisers Hyderabad,159
1082610,1,Royal Challengers Bangalore,213
1082611,1,Sunrisers Hyderabad,191
1082612,1,Kings XI Punjab,198
1082613,1,Kolkata Knight Riders,187
1082614,1,Mumbai Indians,142
1082615,1,Sunrisers Hyderabad,176
1082616,1,Kings XI Punjab,188
1082617,1,Kolkata Knight Riders,131
1082618,1,Rising Pune Supergiant,160
1082620,1,Rising Pune Supergiant,182
1082621,1,Royal Challengers Bangalore,134
1082622,1,Delhi Daredevils,160
1082623,1,Sunrisers Hyderabad,207
1082624,1,Rising Pune Supergiant,157
1082625,1,Gujarat Lions,153
1082626,1,Delhi Daredevils,67
1082627,1,Sunrisers Hyderabad,209
