Match_No,Team1,Team2,Toss_Winner,Toss_Decision,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy,Player_of_Match,Umpire1,Umpire2,Third_Umpire,Referee,Date,Time,Venue,Status,Captain_Team1,Coach_Team1,Owner_Team1,Captain_Team2,Coach_Team2,Owner_Team2
Match 34,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,Field,95,9,14.0,98,5,12.1,Punjab Kings,No,5.0,Wickets,Tim David,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Narayanankutty V,2025-04-18,19:30:00,"PCA New Stadium, Mullanpur",Completed,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited
Match 35,Gujarat Titans,Delhi Capitals,Gujarat Titans,Field,204,3,19.2,203,8,20.0,Gujarat Titans,No,7.0,Wickets,Jos Buttler,Akshay Totre,Akshay Totre,Akshay Totre,Rajiv Seth,2025-04-19,15:30:00,Arun Jaitley Stadium,Completed,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd
Match 36,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,Bat,178,5,20.0,180,5,20.0,Lucknow Super Giants,No,2.0,Runs,Avesh Khan,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,Prakash Bhatt,2025-04-19,19:30:00,BRSABV Ekana Cricket Stadium,Completed,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Rishabh Pant,Justin Langer,RPSG Sports Private Limited
Match 37,Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,157,6,20.0,159,3,18.5,Royal Challengers Bengaluru,No,7.0,Wickets,Virat Kohli,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Javagal Srinath,2025-04-20,15:30:00,M. Chinnaswamy Stadium,Completed,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd
Match 38,Mumbai Indians,Chennai Super Kings,Mumbai Indians,Field,177,1,15.4,176,5,20.0,Mumbai Indians,No,9.0,Wickets,Rohit Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Narayanankutty V,2025-04-20,19:30:00,M. A. Chidambaram Stadium,Completed,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited
Match 39,Kolkata Knight Riders,Gujarat Titans,Kolkata Knight Riders,Field,159,8,20.0,198,3,20.0,Gujarat Titans,No,39.0,Runs,Shubman Gill,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rajiv Seth,2025-04-21,19:30:00,Narendra Modi Stadium,Completed,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited
Match 40,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Field,159,6,20.0,161,2,17.5,Delhi Capitals,No,8.0,Wickets,Mukesh Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Javagal Srinath,2025-04-22,19:30:00,Arun Jaitley Stadium,Completed,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd
Match 41,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,Field,143,8,20.0,146,3,15.4,Mumbai Indians,No,7.0,Wickets,Trent Boult,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,Iqbal Rashid Siddiqui,2025-04-23,19:30:00,Wankhede Stadium,Completed,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd
Match 42,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,Field,205,5,20.0,194,9,20.0,Royal Challengers Bengaluru,No,11.0,Runs,Josh Hazlewood,Michael Gough,Michael Gough,Michael Gough,Rajiv Seth,2025-04-24,19:30:00,Sawai Mansingh Stadium,Completed,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited
Match 43,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,154,10,19.5,155,5,18.4,Sunrisers Hyderabad,No,5.0,Wickets,Harshal Patel,Nitin Menon,Nitin Menon,Nitin Menon,Javagal Srinath,2025-04-25,19:30:00,Rajiv Gandhi Intl. Cricket Stadium,Completed,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Pat Cummins,Daniel Vettori,Sun TV Network Limited
