Match_No,Date,Time,Team1,Team2,Venue,Status,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy
Match 57,2025-05-07,19:30:00,Kolkata Knight Riders,Chennai Super Kings,"Eden Gardens, Kolkata",Completed,179,6,20.0,183,8,19.4,Chennai Super Kings,No,2.0,Wickets
Match 58,2025-05-08,19:30:00,Punjab Kings,Delhi Capitals,"Himachal Pradesh Cricket Association Stadium, Dharamshala",,122,1,10.1,0,0,0.0,,No,,
Match 59,2025-05-09,7:30 pm IST,Lucknow Super Giants,Royal Challengers Bangalore,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Scheduled,0,0,0.0,0,0,0.0,,False,,
Match 60,2025-05-10,7:30 pm IST,Sunrisers Hyderabad,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Scheduled,0,0,0.0,0,0,0.0,,False,,
Match 61,2025-05-11,3:30 pm IST,Punjab Kings,Mumbai Indians,"Narendra Modi Stadium, Ahmedabad",Scheduled,0,0,0.0,0,0,0.0,,False,,
Match 62,2025-05-11,7:30 pm IST,Delhi Capitals,Gujarat Titans,"Arun Jaitley Stadium, Delhi",Scheduled,0,0,0.0,0,0,0.0,,False,,
Match 63,2025-05-12,7:30 pm IST,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Scheduled,0,0,0.0,0,0,0.0,,False,,
Match 64,2025-05-13,7:30 pm IST,Royal Challengers Bangalore,Sunrisers Hyderabad,"M Chinnaswamy Stadium, Bengaluru",Scheduled,0,0,0.0,0,0,0.0,,False,,
Match 65,2025-05-14,7:30 pm IST,Gujarat Titans,Lucknow Super Giants,"Narendra Modi Stadium, Ahmedabad",Scheduled,0,0,0.0,0,0,0.0,,False,,
Match 66,2025-05-15,7:30 pm IST,Mumbai Indians,Delhi Capitals,"Wankhede Stadium, Mumbai",Scheduled,0,0,0.0,0,0,0.0,,False,,
Match 67,2025-05-16,7:30 pm IST,Rajasthan Royals,Punjab Kings,"Sawai Mansingh Stadium, Jaipur",Scheduled,0,0,0.0,0,0,0.0,,False,,
Match 68,2025-05-17,7:30 pm IST,Royal Challengers Bangalore,Kolkata Knight Riders,"M Chinnaswamy Stadium, Bengaluru",Scheduled,0,0,0.0,0,0,0.0,,False,,
Match 69,2025-05-18,3:30 pm IST,Gujarat Titans,Chennai Super Kings,"Narendra Modi Stadium, Ahmedabad",Scheduled,0,0,0.0,0,0,0.0,,False,,
Match 70,2025-05-18,7:30 pm IST,Lucknow Super Giants,Sunrisers Hyderabad,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Scheduled,0,0,0.0,0,0,0.0,,False,,
Match 71,2025-05-20,7:30 pm IST,TBD,TBD,"Rajiv Gandhi International Stadium, Hyderabad",Scheduled,0,0,0.0,0,0,0.0,,False,,
Match 72,2025-05-21,7:30 pm IST,TBD,TBD,"Rajiv Gandhi International Stadium, Hyderabad",Scheduled,0,0,0.0,0,0,0.0,,False,,
Match 73,2025-05-23,7:30 pm IST,TBD,TBD,"Eden Gardens, Kolkata",Scheduled,0,0,0.0,0,0,0.0,,False,,
Match 74,2025-05-25,7:30 pm IST,TBD,TBD,"Eden Gardens, Kolkata",Scheduled,0,0,0.0,0,0,0.0,,False,,
