Match_No,Umpire1,Umpire2,Third_Umpire,Referee,Player_of_Match,Toss_Winner,Toss_Decision,Match_Winner,Result_Margin,Date,Time,Team1,Team2,Venue_x,Status,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy,Captain_Team1,Coach_Team1,Owner_Team1,Venue_y,Captain_Team2,Coach_Team2,Owner_Team2,Venue
Match 35,Akshay Totre,Akshay Totre,Akshay Totre,Rajiv Seth,Jos Buttler,Gujarat Titans,Field,Gujarat Titans,7  Wickets,2025-04-19,15:30:00,Gujarat Titans,Delhi Capitals,"Narendra Modi Stadium, Ahmedabad",Completed,204,3,19.2,203,8,20.0,Gujarat Titans,No,7.0,Wickets,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium
Match 36,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,Prakash Bhatt,Avesh Khan,Lucknow Super Giants,Bat,Lucknow Super Giants,2  Runs,2025-04-19,19:30:00,Rajasthan Royals,Lucknow Super Giants,"Sawai Mansingh Stadium, Jaipur",Completed,178,5,20.0,180,5,20.0,Lucknow Super Giants,No,2.0,Runs,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium
Match 37,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Javagal Srinath,Virat Kohli,Royal Challengers Bengaluru,Field,Royal Challengers Bengaluru,7  Wickets,2025-04-20,15:30:00,Punjab Kings,Royal Challengers Bengaluru,"New PCA Stadium, Chandigarh",Completed,157,6,20.0,159,3,18.5,Royal Challengers Bengaluru,No,7.0,Wickets,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur",Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium
Match 38,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Narayanankutty V,Rohit Sharma,Mumbai Indians,Field,Mumbai Indians,9  Wickets,2025-04-20,19:30:00,Mumbai Indians,Chennai Super Kings,"Wankhede Stadium, Mumbai",Completed,177,1,15.4,176,5,20.0,Mumbai Indians,No,9.0,Wickets,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium
Match 39,Rohan Pandit,Rohan Pandit,Rohan Pandit,Rajiv Seth,Shubman Gill,Kolkata Knight Riders,Field,Gujarat Titans,39  Runs,2025-04-21,19:30:00,Kolkata Knight Riders,Gujarat Titans,"Eden Gardens, Kolkata",Completed,159,8,20.0,198,3,20.0,Gujarat Titans,No,39.0,Runs,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Narendra Modi Stadium
Match 40,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Javagal Srinath,Mukesh Kumar,Delhi Capitals,Field,Delhi Capitals,8  Wickets,2025-04-22,19:30:00,Lucknow Super Giants,Delhi Capitals,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Completed,159,6,20.0,161,2,17.5,Delhi Capitals,No,8.0,Wickets,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,BRSABV Ekana Cricket Stadium,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Arun Jaitley Stadium
Match 41,Madanagopal Jayaraman,Madanagopal Jayaraman,Madanagopal Jayaraman,Iqbal Rashid Siddiqui,Trent Boult,Mumbai Indians,Field,Mumbai Indians,7  Wickets,2025-04-23,19:30:00,Sunrisers Hyderabad,Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Completed,143,8,20.0,146,3,15.4,Mumbai Indians,No,7.0,Wickets,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Wankhede Stadium
Match 42,Michael Gough,Michael Gough,Michael Gough,Rajiv Seth,Josh Hazlewood,Rajasthan Royals,Field,Royal Challengers Bengaluru,11  Runs,2025-04-24,19:30:00,Royal Challengers Bengaluru,Rajasthan Royals,"M Chinnaswamy Stadium, Bengaluru",Completed,205,5,20.0,194,9,20.0,Royal Challengers Bengaluru,No,11.0,Runs,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,M. Chinnaswamy Stadium,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Sawai Mansingh Stadium
Match 43,Nitin Menon,Nitin Menon,Nitin Menon,Javagal Srinath,Harshal Patel,Sunrisers Hyderabad,Field,Sunrisers Hyderabad,5  Wickets,2025-04-25,19:30:00,Chennai Super Kings,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chennai",Completed,154,10,19.5,155,5,18.4,Sunrisers Hyderabad,No,5.0,Wickets,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,M. A. Chidambaram Stadium,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Rajiv Gandhi Intl. Cricket Stadium
Match 44,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Rajiv Seth,,Punjab Kings,Bat,,,2025-04-26,19:30:00,Kolkata Knight Riders,Punjab Kings,"Eden Gardens, Kolkata",,7,0,1.0,201,4,20.0,,No,,,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Eden Gardens,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,"PCA New Stadium, Mullanpur"
