Match_No,Team1,Team2,TossWinner,TossDecision,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy,Player_of_Match,Umpire1,Umpire2,Third_Umpire,Referee,Date,Time,Venue,Status,Captain_Team1,Coach_Team1,Owner_Team1,Captain_Team2,Coach_Team2,Owner_Team2,City,Status.1
Match 46,Delhi Capitals,Royal Challengers Bangalore,,,0,0,0.0,0,0,0.0,,No,,,,,,,,4/27/2025,7:30 pm IST,"Arun Jaitley Stadium, Delhi",Scheduled,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,Delhi,Completed
Match 47,Rajasthan Royals,Gujarat Titans,,,0,0,0.0,0,0,0.0,,No,,,,,,,,4/28/2025,7:30 pm IST,"Sawai Mansingh Stadium, Jaipur",Scheduled,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Jaipur,Completed
Match 48,Delhi Capitals,Kolkata Knight Riders,,,0,0,0.0,0,0,0.0,,No,,,,,,,,4/29/2025,7:30 pm IST,"Arun Jaitley Stadium, Delhi",Scheduled,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Delhi,Completed
Match 49,Chennai Super Kings,Punjab Kings,,,0,0,0.0,0,0,0.0,,No,,,,,,,,4/30/2025,7:30 pm IST,"MA Chidambaram Stadium, Chennai",Scheduled,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Chennai,Scheduled
Match 50,Rajasthan Royals,Mumbai Indians,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/1/2025,7:30 pm IST,"Sawai Mansingh Stadium, Jaipur",Scheduled,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Jaipur,Scheduled
Match 51,Gujarat Titans,Sunrisers Hyderabad,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/2/2025,7:30 pm IST,"Narendra Modi Stadium, Ahmedabad",Scheduled,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Ahmedabad,Scheduled
Match 52,Royal Challengers Bangalore,Chennai Super Kings,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/3/2025,7:30 pm IST,"M Chinnaswamy Stadium, Bengaluru",Scheduled,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Bengaluru,Scheduled
Match 53,Kolkata Knight Riders,Rajasthan Royals,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/4/2025,3:30 pm IST,"Eden Gardens, Kolkata",Scheduled,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Kolkata,Scheduled
Match 54,Punjab Kings,Lucknow Super Giants,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/4/2025,7:30 pm IST,"Himachal Pradesh Cricket Association Stadium, Dharamshala",Scheduled,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited,Rishabh Pant,Justin Langer,RPSG Sports Private Limited,Dharamshala,Scheduled
Match 55,Sunrisers Hyderabad,Delhi Capitals,,,0,0,0.0,0,0,0.0,,No,,,,,,,,5/5/2025,7:30 pm IST,"Rajiv Gandhi International Stadium, Hyderabad",Scheduled,Pat Cummins,Daniel Vettori,Sun TV Network Limited,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Hyderabad,Scheduled
